taxa,PC1,PC2,PC3,PC4,PC5
1538,25.2020025961798,-431.348812506856,214.569283353803,-214.397175997557,70.9258926339337
2369,-596.320930276939,-0.0222880548974839,-391.637908153477,171.399345542573,-82.2781746275751
29MIBZ2,374.497240119992,-781.526971643624,-74.4863298165791,-14.0042439253822,-55.3369501235091
2FACC,-472.104514542482,-10.0563277193251,-171.007218530205,67.3876759273011,15.2633489882158
2FADB,-473.936098209365,-13.7991295493402,-153.454831805492,50.2477167560498,15.7697305657141
2MA22,185.978567682557,137.668576891331,0.733892729580886,77.0681578009613,124.050460990932
2MCDB,203.108993748844,144.597248269032,-18.8150844278405,85.0829568301036,193.200314835399
33-16,138.078749950408,116.478361077763,111.311728977745,103.647216455523,-67.3591960284273
3IJI1,366.899288685483,-793.768499983279,-86.124227973807,26.9395606682378,-72.1893944105601
4226,135.27478082693,93.4062047616647,98.8773126888799,144.674983328694,-131.491006885089
4F-234-BX-4,135.181684637695,139.664864162157,90.3488446843414,164.144586831363,-124.665931248212
4F-306-108,131.339070862814,148.026941232379,93.8980404753073,139.417911913169,-112.319486415337
4F-35-BK,120.764282001525,142.698906835344,79.2569439231168,165.626516814514,-104.120428900588
6F629,-369.403709542961,-11.1298088264467,-2.95457000604306,-10.7520663136572,129.628689155651
6M502,236.077585513574,201.045667389598,-86.875754844818,-89.7024259948079,67.3964366826702
6M502A,240.085562407204,201.426054683317,-56.1512213845493,-57.2959412278152,97.1245008234243
764,-612.782428041349,-26.655134624285,-62.3255760402968,-26.0529694365147,-102.259907428458
78551S,320.751688481267,283.758208458771,-220.644860231548,-187.805040850984,286.707060547005
790,-603.636245835993,-37.4761457263699,-93.0061053164518,-6.56696274406698,-89.8675342457861
792,-557.179060743772,-41.3947353543248,13.868858025682,-89.0663544435405,-75.4963565958116
793,-707.709805990801,-42.7930716241105,-127.976431539375,-26.7307845720551,-72.9650816112795
87916W,-501.90232207183,-12.832467790294,-288.071893203133,160.684008208417,-62.5301567990124
911,348.920502224973,-564.663027682006,-103.64066498846,6.32998356163008,101.368543479734
912,332.005654774284,-482.394642437863,-91.3049399798075,18.1878405203907,138.242183682897
91IFC2,358.281302720494,-537.815486591788,-192.797826267591,-167.799434841832,-143.251985525091
A,108.343433149162,126.647924238096,163.89207305647,224.808989614334,-130.054570763094
A188,141.488936380877,109.994232192934,78.0061652910107,143.411381844297,-97.7363162760973
A208,119.585424504106,133.600775939609,115.613131687891,147.748828321862,-64.9323976594416
A239,124.750074929225,108.069958822327,153.997918821916,229.612077453702,-88.0824617115343
A258,112.571491788497,86.4057350483063,143.032421360892,211.885869063097,-126.508647765425
A305,124.077962445901,128.551392077394,91.0663871361728,128.284406024305,-91.537755487019
A321,125.405118937419,106.129182205383,139.759304876597,260.69824075695,-92.1524444552617
A322,135.892531625177,73.9817609782452,86.4116999216366,141.161711615739,-81.3741400655574
A334,120.625352094971,94.7832794778247,103.67123396185,117.727941703084,-82.4805111671333
A340,141.970483684324,151.840188159878,97.5453091624034,171.143828351283,-82.0479720115421
A374,112.213931444281,116.812272316559,151.145928975161,218.749034499854,-123.091148665485
A385,126.833697758794,132.8121700015,111.612516092156,193.155000751039,-101.637733608378
A401,117.268481788854,113.431488800055,128.807311156249,165.290777218445,-101.984644300579
A427,115.901720952425,22.5275454282287,35.6484290316582,127.512947652538,-152.059110551122
A548,111.961264365509,127.59697477707,160.238539171885,201.512324788325,-66.8865594668513
A572,151.740977087371,100.914389607733,96.5757283806708,142.314948192729,-90.4982060929494
A619,269.868938984433,247.879554803932,-41.8803126210094,150.821721000844,671.92504751865
A627,122.107053515342,84.7155240662531,106.667964897471,169.331248330957,-42.9382673582056
A632,-459.464523179096,-45.4091145123306,631.243507337949,-497.49122639408,1.45257999551926
A634,-429.551939328339,-24.0163392043983,520.975093205356,-426.676397538205,1.20934714523422
A635,-459.447432151067,-34.4373557594717,523.408751344589,-416.891673842646,-25.5626885845253
A641,-208.457899989116,-11.4621981258546,394.223855729897,-230.281138042427,-46.3931128769205
A648,137.701990115786,149.189749853625,83.8441218720211,205.697141039863,28.1641120315829
A649,139.437923968675,122.550862400879,135.797830112136,214.379238635854,-83.6428174411764
A659,114.20541416684,128.258749614876,152.826987610248,175.960054358043,-8.51635750118533
A663,130.25306174131,32.3890011904331,48.7417501117218,132.365126647081,-160.680704263228
A672,-378.447524316788,-18.1528101548962,558.620149234238,-425.675178399524,4.79794725523318
A674,49.8163767735691,103.913146535052,153.896064762443,62.7153978483077,-69.3375773129328
A679,-611.458785340647,-28.4062218550932,-367.774122547749,202.00140114975,-115.379136393561
A680,-730.379676143823,-47.7084631486737,-425.418873729727,193.147234437447,-117.436998955291
A682,297.523283740792,331.725667674236,-309.815533807269,-460.730399706682,-199.643158137513
A71,104.850884056794,86.4082222706905,107.444120800522,189.922995235706,-125.375767159369
A73,125.866363321516,131.747686691729,160.756671620262,249.622343033017,-107.033992533177
A797NW,153.110288311433,156.791219766756,126.095647801862,224.83246976811,-69.4702894369735
AQA3,-289.450442059183,-18.8320950228866,457.859327370204,-315.067815745634,18.5005594346711
AS5707,264.667961600911,259.702671321737,-121.512370794959,-166.128942315436,-131.87306324435
AS6103,-460.836171650219,-31.3403806050915,539.407844121856,-415.88040059331,16.9787879851517
AusTRCF-306238,239.119168336016,254.604799767414,-174.101771140831,-230.932642263081,-210.127689165541
B-18,143.129697005335,122.18131981613,106.29806401271,226.83121515668,-160.054987580105
B-28,155.057366446564,113.351980539035,98.0791139712791,185.360125715049,-151.606511389207
B104,-358.575320719939,-3.98332868899284,5.37169214351722,50.5461158279411,-90.6125628671069
B105,-133.271638507543,12.5662282152836,31.0989543361852,118.232392069724,-92.165663174475
B107,229.592335369404,-581.80379897682,-113.613947938299,-82.4657221459204,69.3201861188893
B108,102.164274882041,122.937660120411,94.6491568151844,69.600791193591,-70.5125943116945
B109,-658.902201613125,-39.9865271608242,-305.666004504037,126.854849098406,-96.1393844216953
B110,-307.54048553646,-3.67318809393127,-64.2261654982996,77.259758128417,-123.046391355737
B111,-134.775988527139,13.8632358399063,58.6331397938562,83.4719773922841,-70.3346427605695
B115,149.069787649767,122.336668442289,81.2384778483679,115.530306484901,-80.6798060126947
B119,-288.995989011714,-5.84190436332477,-8.47531306042674,76.3088161212597,-105.983196744214
B120,155.392995396791,61.5559722984672,75.6544822429837,167.30157485831,-102.227264818538
B121,144.782444862242,82.1232617983192,103.800237575711,186.256363743227,-104.122168280823
B14,-588.870833502455,-63.6152293993162,582.093324156147,-503.759734699199,14.151432251613
B164,55.8058757119274,74.854399087574,123.279231177511,136.748952989746,-83.6639901044102
B2,75.3205559919142,78.1544584737527,123.672917569578,138.758233017983,-96.2135514076802
B37,-242.112077734194,10.1972406126822,-52.1697257968445,84.7456671455274,395.829354556236
B46,36.952374778504,67.1132756953881,179.59136675587,124.311569962022,-43.5322629288626
B57,128.750389944968,98.4738155372807,100.879080410604,129.268393924931,-106.426964380609
B65,162.414154085456,108.880082311088,95.0699733350655,141.569147120668,43.6539043995765
B66,233.24425812106,171.801103492315,3.09480211316863,139.416815126158,394.609279574952
B68,-474.006124815592,-35.9331624947511,565.477383370268,-458.605860469719,25.2172992181218
B70,311.243625618997,313.157859400932,-231.748854096308,-282.792912827521,-35.110215149426
B75,122.163211740032,143.350099795572,57.875302516864,111.50730090074,35.0894152519185
B76,143.708237805623,161.874503290476,60.8532961082414,136.449093465597,146.091906905751
B77,124.213625673661,137.425576890052,71.4892922102806,97.5403167347548,-78.379579884508
B79,11.6450948090016,85.8631210241636,196.080907256659,19.4975054662523,118.803241945953
B84,-381.953846980801,-2.73000343185358,-11.2426051495191,71.2800874492327,-55.2141693454417
B85,155.174901668248,142.435491184349,19.9006306909581,105.978333481533,40.7162301010029
