RMSE,Rsquared,MAE,Training_Size,Data
0.011634006171198362,0.7683145599674821,0.008021716285904102,71,Training
0.012169373412339575,0.7590041878710102,0.008635895461373232,86,Training
0.014263766063610664,0.7614193588281842,0.010203433279100754,100,Training
0.013275420070984843,0.7278684130166546,0.00900931029212591,114,Training
0.012210039379125463,0.8185720855599437,0.008907876249138854,129,Training
0.013604196255933336,0.7760086612686599,0.009681800905854538,143,Training
0.013635066685365653,0.7729009210195251,0.010201722049122737,157,Training
0.013711296490683719,0.7349193875100735,0.010035455728031491,172,Training
0.013333059331077549,0.7783583061997299,0.00977908010262458,186,Training
0.014145383275701204,0.7464575829308904,0.00985710641050245,200,Training
0.01489767075542096,0.7046601759950695,0.010675751759013762,215,Training
0.014394132840629303,0.7484246516311002,0.010528721329407948,229,Training
0.013893115259890334,0.7545825162779355,0.010316023494861146,243,Training
0.014200267454109405,0.7579231133991704,0.010262856704898963,258,Training
0.014855896042764308,0.7224375091836162,0.010892404023689954,272,Training
0.014575910464109346,0.7290755916112562,0.010705067966757952,287,Training
0.01418498851011269,0.6729285107602958,0.009731448623133535,71,Testing
0.013999427602922818,0.697248373496223,0.009952535638202975,86,Testing
0.015232462313368918,0.7167559298323721,0.01121128722594604,100,Testing
0.014378809637387273,0.6956339103499984,0.010002171099134968,114,Testing
0.013268650520130527,0.781622754720528,0.009889669118509387,129,Testing
0.014572518386857662,0.7351472357955546,0.010415148725947251,143,Testing
0.014645190624607913,0.729707525235465,0.010959358284871877,157,Testing
0.014634690136905808,0.6971317060116492,0.010739560405084189,172,Testing
0.013736606304215254,0.7613607219177551,0.010084284394393786,186,Testing
0.014742007507672643,0.7211555436984612,0.010391359638009467,200,Testing
0.015302849418388496,0.6861363279054019,0.010985884654501225,215,Testing
0.01462897460050195,0.7362089115294416,0.010771368929417604,229,Testing
0.014173788090008793,0.7423918268246223,0.010532166754130547,243,Testing
0.014491324309945928,0.7442420383912981,0.010539607940314312,258,Testing
0.01505032717172494,0.712149983870321,0.011102210287381302,272,Testing
0.01479017919149277,0.7189033314997658,0.01092015570384773,287,Testing
0.013863135210581228,0.8065254169021595,0.009821939816885086,71,Training
0.013989939748140971,0.7143271284432684,0.009462049955085159,86,Training
0.014209267494449495,0.7735949219384718,0.009995821102441148,100,Training
0.013202398815521705,0.7654955615881331,0.009213843353278267,114,Training
0.013824677638734226,0.7189342048404835,0.009902993987166257,129,Training
0.01516753866628078,0.6479935552662976,0.010647240325777817,143,Training
0.015604239268767656,0.720200270056898,0.011165669557827463,157,Training
0.012907315771324783,0.774896026784515,0.009283309969213019,172,Training
0.014782896022677114,0.7020994565034953,0.010797125088696131,186,Training
0.014605233435381967,0.7191878419561206,0.010557182789093367,200,Training
0.014256171619562254,0.7317273158318831,0.010252662448652314,215,Training
0.01456425417019971,0.7239621303040891,0.010735021091821121,229,Training
0.01467472997080535,0.7359508100842851,0.010978258809091857,243,Training
0.015042533407181648,0.7190998353537789,0.011128430190853,258,Training
0.014795146508290315,0.7247003881012436,0.01082914171224954,272,Training
0.014756779348025903,0.7198942090627759,0.010762382057972418,287,Training
0.016430669676238643,0.7306461001513288,0.012107223477069976,71,Testing
0.014454602879573307,0.6971825783608642,0.010131860184289946,86,Testing
0.014266950619099788,0.7641319036759969,0.010150996355958739,100,Testing
0.013807295287551934,0.7435673119565808,0.009881854064209928,114,Testing
0.014132588975290988,0.7129838446428982,0.010312652130009179,129,Testing
0.015541728074541537,0.641020823681421,0.01101659808375438,143,Testing
0.015506093402102607,0.7168513781412132,0.01118927403043015,157,Testing
0.013260905715507292,0.7604348755533804,0.009707551055191173,172,Testing
0.014944180906235211,0.6962931962503858,0.010913191067336526,186,Testing
0.014619247692204925,0.7177497353114916,0.010696173856200657,200,Testing
0.01432132794025099,0.7278719609638415,0.010366851741253982,215,Testing
0.014590679525960866,0.7216273545851257,0.0107555439937155,229,Testing
0.014799684857042895,0.7282872521703524,0.011073377221771128,243,Testing
0.015047362199028955,0.7161756133445237,0.011181111127194936,258,Testing
0.01487835410064577,0.7190529992287121,0.010947447573914266,272,Testing
0.01482788943904737,0.7155485929261206,0.01085095057128298,287,Testing
0.013451055531161472,0.7398115515087208,0.009580551842937428,71,Training
0.013106626113974963,0.7805477247210509,0.00910153274223568,86,Training
0.014085087699327436,0.7296144847149821,0.010406349759520806,100,Training
0.012517686459246433,0.8057824771170807,0.008792026208022382,114,Training
0.014781219937063326,0.6842605885541169,0.010584582424937776,129,Training
0.013466097142190681,0.7390157898186394,0.009228291746445513,143,Training
0.014149530014381571,0.7192971369428023,0.010042523364338743,157,Training
0.013018341164980882,0.7640634265695159,0.009186149218111974,172,Training
0.014201064202754304,0.7325989399017161,0.010250958372139787,186,Training
0.013511533598884861,0.7430327496626093,0.009511066251453175,200,Training
0.01409777684379467,0.7506205819043731,0.010079018629027001,215,Training
