Model,dataset,Metric,Partition,CV,Data,Intercept,Mtry,Ncomp,C,Median_Degree,Median_Scale,Median_Sigma,Mean_Spearman_R,Min_Spearman_R,Max_Spearman_R
PLS,Base Spectra,Spearman_R,Random,Random,Spectra,NA,NA,16,NA,NA,NA,NA,0.7541988301643655,0.590275076410114,0.8705872546999475
PLS,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,16,NA,NA,NA,NA,0.7517000810829412,0.5927202000555711,0.8571388878138637
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,87.808,NA,NA,NA,0.7503063702711147,0.5526535148652404,0.8693646758921216
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,95.82300000000001,NA,NA,NA,0.7502541366114691,0.5529869408168937,0.8710874005758762
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,100.8,NA,NA,NA,0.7502155164551436,0.5505973881633788,0.8730324123155991
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,92.575,NA,NA,NA,0.7502152362415718,0.5525423728813561,0.8699759652960346
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,90.97200000000001,NA,NA,NA,0.7501357695570904,0.5510975270908587,0.8690312453081692
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,99.127,NA,NA,NA,0.7501279910272219,0.5526535148652404,0.8731991276075753
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,97.468,NA,NA,NA,0.7501171553438897,0.5512086690747431,0.8717820476257773
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,94.19200000000001,NA,NA,NA,0.7500468570045496,0.5513198110586275,0.8710874005758762
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,89.383,NA,NA,NA,0.7500004551065915,0.5450958599611003,0.8708095417559157
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,80.143,NA,NA,NA,0.7499879498152312,0.5534870797443736,0.8664629063628788
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,116.48700000000001,NA,NA,NA,0.7499876717016426,0.550097249235899,0.88053460045453
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,102.48700000000001,NA,NA,NA,0.7499737814435199,0.5535982217282579,0.8774225816709735
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,78.652,NA,NA,NA,0.7499640542269321,0.5519310919699917,0.8663517643789944
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,72.828,NA,NA,NA,0.7499429379409785,0.5468741317032509,0.8670186162823008
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,83.167,NA,NA,NA,0.7499268211991045,0.552264517921645,0.8667407613225898
SVML,Absolute Value,Spearman_R,Random,Random,Spectra,NA,NA,NA,107.632,NA,NA,NA,0.7499240451278,0.5510419560989165,0.8775892969629497
