Model,Metric,Data,Intercept,Mtry,CP,K,C,Mean_Degree,Mean_Scale,Mean_Sigma,Mean_Performance,Std_Dev_Performance,Range_Performance,N,Splitting
SVMR,Spearman_R,Macro,NA,NA,NA,NA,3,NA,NA,0.01,0.51480513926889,0.08795101658362828,0.5267018616282302,100,Random
SVMR,Spearman_R,Macro,NA,NA,NA,NA,2,NA,NA,0.012700000000000001,0.5143618824636113,0.0923319683358585,0.43727975250097395,100,Random
SVMR,Spearman_R,Macro,NA,NA,NA,NA,5,NA,NA,0.0109,0.5134405264430983,0.07587484279688354,0.3765032175381217,100,Random
SVMP,Spearman_R,Macro,NA,NA,NA,NA,3,2.73,0.019,NA,0.5127490043446973,0.09050257580162051,0.5130313976104474,100,Random
SVMP,Spearman_R,Macro,NA,NA,NA,NA,2,2.73,0.028,NA,0.5119270367340021,0.09553993789133888,0.4738458002755743,100,Random
SVMR,Spearman_R,Macro,NA,NA,NA,NA,4,NA,NA,0.013600000000000001,0.5099803687519817,0.08844954544149963,0.45073631564323435,100,Random
SVMP,Spearman_R,Macro,NA,NA,NA,NA,5,2.6,0.0181,NA,0.5098836959009884,0.0806635177645954,0.3839774769658298,100,Random
LM,Spearman_R,Macro,1,NA,NA,NA,NA,NA,NA,NA,0.5086408068355089,0.09900155023920552,0.5507062410193831,100,Random
LM,Spearman_R,Macro,0.5,NA,NA,NA,NA,NA,NA,NA,0.5079709222838272,0.0951325255396321,0.46598341826978873,100,Random
SVMP,Spearman_R,Macro,NA,NA,NA,NA,4,2.75,0.019,NA,0.5072554555809087,0.08958797468463656,0.47385384829119204,100,Random
SVMP,Spearman_R,Macro,NA,NA,NA,NA,1,2.55,0.0613,NA,0.5065680174984643,0.09505154284511864,0.5714618517137972,100,Random
SVML,Spearman_R,Macro,NA,NA,NA,NA,1,NA,NA,NA,0.5054048972818235,0.09843109535751882,0.5561522723465073,100,Random
LM,Spearman_R,Macro,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,0.5051732672778012,0.09254210801361387,0.532592386774104,100,Random
SVML,Spearman_R,Macro,NA,NA,NA,NA,2,NA,NA,NA,0.5042348667460549,0.09573543103483523,0.4759866322645898,100,Random
SVML,Spearman_R,Macro,NA,NA,NA,NA,3,NA,NA,NA,0.5021568659216671,0.09070626885622447,0.5097527090858573,100,Random
SVMR,Spearman_R,Macro,NA,NA,NA,NA,1,NA,NA,0.0181,0.5005385508600296,0.09706386724410683,0.5640152901543994,100,Random
LM,Spearman_R,Macro,0.25,NA,NA,NA,NA,NA,NA,NA,0.5000362151707868,0.08549182530173874,0.44895804390108374,100,Random
LM,Spearman_R,Macro,0.2,NA,NA,NA,NA,NA,NA,NA,0.498416047709878,0.08327356411001416,0.4135037510419562,100,Random
SVML,Spearman_R,Macro,NA,NA,NA,NA,5,NA,NA,NA,0.4973312971525279,0.0839422009183454,0.40744651292025574,100,Random
SVML,Spearman_R,Macro,NA,NA,NA,NA,4,NA,NA,NA,0.4961579067568461,0.08635016061997065,0.4514587385384829,100,Random
RF,Spearman_R,Macro,NA,3,NA,NA,NA,NA,NA,NA,0.45777203746256995,0.08763998499980513,0.4306751875520979,100,Random
RF,Spearman_R,Macro,NA,2,NA,NA,NA,NA,NA,NA,0.4523437762091649,0.0844450493489681,0.36397092237819667,100,Random
RF,Spearman_R,Macro,NA,4,NA,NA,NA,NA,NA,NA,0.44411723676370346,0.08406885278908664,0.3822172825784941,100,Random
RF,Spearman_R,Macro,NA,5,NA,NA,NA,NA,NA,NA,0.4375309597978642,0.08231335881050665,0.4367324256737984,100,Random
RF,Spearman_R,Macro,NA,1,NA,NA,NA,NA,NA,NA,0.4330871874379967,0.10990329627123775,0.5413726035009726,100,Random
CART,Spearman_R,Macro,NA,NA,0.02,NA,NA,NA,NA,NA,0.34807110929137663,0.1032891340388189,0.49092139415077135,100,Random
CART,Spearman_R,Macro,NA,NA,0.04,NA,NA,NA,NA,NA,0.33090879059359424,0.09668487732494675,0.4873841800108144,100,Random
KNN,Spearman_R,Macro,NA,NA,NA,5,NA,NA,NA,NA,0.32204066467679926,0.09390945652257657,0.4565124468633798,100,Random
CART,Spearman_R,Macro,NA,NA,0.06,NA,NA,NA,NA,NA,0.3208074868139541,0.09174993718605291,0.457280572158412,100,Random
KNN,Spearman_R,Macro,NA,NA,NA,3,NA,NA,NA,NA,0.31040463468796,0.10127734917947084,0.42090278037135587,100,Random
KNN,Spearman_R,Macro,NA,NA,NA,4,NA,NA,NA,NA,0.3049230074934202,0.10774923939411295,0.5231050624171709,100,Random
CART,Spearman_R,Macro,NA,NA,0.08,NA,NA,NA,NA,NA,0.2808856077790026,0.09976321338648522,0.4597428839193852,100,Random
