Model,Metric,dataset,Data,Intercept,Mtry,Ncomp,C,Mean_Degree,Mean_Scale,Mean_Sigma,Mean_Performance,Std_Dev_Performance,Range_Performance,N,Splitting
PLS,RMSE,std_training,Spectra,NA,NA,141,NA,NA,NA,NA,9203114706.276426,7364451647.896285,32221280344.738277,20,Genotype
PLS,RMSE,base_training,Spectra,NA,NA,141,NA,NA,NA,NA,1785382473.1203532,7953979535.630234,35578023494.688904,20,Genotype
PLS,RMSE,sq_training,Spectra,NA,NA,141,NA,NA,NA,NA,18803396.50605186,83348954.41922888,372907093.9346191,20,Genotype
PLS,RMSE,max_training,Spectra,NA,NA,140,NA,NA,NA,NA,4856540.945657203,15949246.959129585,71707157.42652181,20,Genotype
PLS,RMSE,max_training,Spectra,NA,NA,141,NA,NA,NA,NA,4856540.945657203,15949246.959129585,71707157.42652181,20,Genotype
PLS,RMSE,abs_training,Spectra,NA,NA,141,NA,NA,NA,NA,3689680.4286234723,15772565.446278082,70685428.49412943,20,Genotype
PLS,RMSE,std_training,Spectra,NA,NA,140,NA,NA,NA,NA,868251.2581143688,2197326.4279928445,7594876.197140884,20,Genotype
PLS,RMSE,sq_training,Spectra,NA,NA,140,NA,NA,NA,NA,487468.1645313931,2176555.4013803923,9734619.431639934,20,Genotype
PLS,RMSE,base_training,Spectra,NA,NA,140,NA,NA,NA,NA,90655.95695254578,301266.66296648816,1364147.5958450814,20,Genotype
PLS,RMSE,max_training,Spectra,NA,NA,139,NA,NA,NA,NA,18714.13730340681,52318.52854329457,225063.80922049715,20,Genotype
PLS,RMSE,base_training,Spectra,NA,NA,139,NA,NA,NA,NA,3605.0027992854943,12375.121741480627,55955.56778519649,20,Genotype
PLS,RMSE,abs_training,Spectra,NA,NA,140,NA,NA,NA,NA,2967.8642726916364,11000.802218666699,49552.72834232773,20,Genotype
PLS,RMSE,std_training,Spectra,NA,NA,139,NA,NA,NA,NA,1584.896385437973,3167.7396921388563,12700.269757198997,20,Genotype
PLS,RMSE,sq_training,Spectra,NA,NA,139,NA,NA,NA,NA,558.4007850974284,2457.2421075161014,10997.860369680462,20,Genotype
PLS,RMSE,base_training,Spectra,NA,NA,138,NA,NA,NA,NA,234.87246206562702,734.5449767414019,3231.2564495559263,20,Genotype
PLS,RMSE,max_training,Spectra,NA,NA,138,NA,NA,NA,NA,152.9001941628407,319.9736527089294,1180.912319481429,20,Genotype
PLS,RMSE,std_training,Spectra,NA,NA,138,NA,NA,NA,NA,58.484049761737445,144.41108028531258,636.0007721006074,20,Genotype
PLS,RMSE,abs_training,Spectra,NA,NA,139,NA,NA,NA,NA,52.55579642215122,166.00752517127694,745.5824910434504,20,Genotype
PLS,RMSE,base_training,Spectra,NA,NA,137,NA,NA,NA,NA,23.16867192137913,86.13944438708921,387.784694169855,20,Genotype
PLS,RMSE,max_training,Spectra,NA,NA,137,NA,NA,NA,NA,18.826895132614084,70.47114688095984,317.3160281947325,20,Genotype
PLS,RMSE,sq_training,Spectra,NA,NA,138,NA,NA,NA,NA,3.030281631055039,9.754366267456044,43.169947023402905,20,Genotype
PLS,RMSE,std_training,Spectra,NA,NA,137,NA,NA,NA,NA,2.987934675384714,8.413962451422384,37.79452271093979,20,Genotype
PLS,RMSE,base_training,Spectra,NA,NA,136,NA,NA,NA,NA,1.864944740282734,6.51371795412952,29.256432991656645,20,Genotype
PLS,RMSE,abs_training,Spectra,NA,NA,138,NA,NA,NA,NA,1.2491840222448294,2.4509160815872515,10.081680590485538,20,Genotype
PLS,RMSE,max_training,Spectra,NA,NA,136,NA,NA,NA,NA,1.1688819745550514,4.030862328045345,18.131780155159515,20,Genotype
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,56.7,NA,NA,NA,0.7220914275152073,0.07199966752376512,0.27079981348892546,20,Genotype
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,55.447,NA,NA,NA,0.7219093863183889,0.07169865602333762,0.2719041391508704,20,Genotype
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,57.967,NA,NA,NA,0.7218372397824651,0.07222622900641887,0.2707044798827539,20,Genotype
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,54.208,NA,NA,NA,0.7214074742961247,0.07197697294942476,0.27219636591884233,20,Genotype
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,52.983000000000004,NA,NA,NA,0.721156375047562,0.07175639362103346,0.2726577747126274,20,Genotype
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,51.772,NA,NA,NA,0.7210690970209632,0.07166448162500104,0.2724116852283096,20,Genotype
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,61.852000000000004,NA,NA,NA,0.7209602983844295,0.07327776724642855,0.275918415433284,20,Genotype
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,65.863,NA,NA,NA,0.7209571798553771,0.07321342346772439,0.2727531173081097,20,Genotype
