Model,Metric,dataset,Data,Intercept,Mtry,Ncomp,C,Mean_Degree,Mean_Scale,Mean_Sigma,Mean_Performance,Std_Dev_Performance,Range_Performance,N,Splitting
PLS,RMSE,std_training,Spectra,NA,NA,141,NA,NA,NA,NA,8273537842.414913,3509366802.6661544,15198164779.515318,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,140,NA,NA,NA,NA,334524196.5657052,1494375402.9215436,6683420403.900691,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,141,NA,NA,NA,NA,334524196.5657052,1494375402.9215436,6683420403.900691,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,141,NA,NA,NA,NA,36975194.143920995,164442143.87037247,735609894.5618805,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,141,NA,NA,NA,NA,27728655.842180654,74498736.60289636,296977488.67417693,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,140,NA,NA,NA,NA,2996141.0133474455,13244365.121975733,59264704.37041883,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,140,NA,NA,NA,NA,282354.70411611605,855191.8402260323,3751462.6208403865,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,141,NA,NA,NA,NA,242667.46070986477,412114.920240792,1243529.8134176228,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,139,NA,NA,NA,NA,53945.3777095376,239314.85756992846,1070673.5737654723,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,139,NA,NA,NA,NA,7313.263129351877,26363.438497120933,118588.35453404691,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,140,NA,NA,NA,NA,6322.221714074301,18374.305656316854,82112.50930139559,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,140,NA,NA,NA,NA,5330.351997830043,10261.404372418607,28831.542079623974,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,139,NA,NA,NA,NA,1574.1030378405746,2676.266399919657,8935.91395673972,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,138,NA,NA,NA,NA,876.7268350160807,3679.9578015823436,16505.44472577628,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,139,NA,NA,NA,NA,185.7976624569502,567.5902107992871,2497.9241814519437,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,139,NA,NA,NA,NA,169.64553335006568,460.14140759598234,1978.425326339183,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,138,NA,NA,NA,NA,166.51655548223115,640.6659564519067,2872.627190685406,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,138,NA,NA,NA,NA,57.534810693228025,96.45687914421487,390.66056808237744,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,137,NA,NA,NA,NA,45.340697312022186,183.12942407754764,822.5903112614224,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,137,NA,NA,NA,NA,6.865773709213339,27.07711955925082,121.62364677829848,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,136,NA,NA,NA,NA,5.570960238383655,22.644609420679696,101.64928342272458,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,138,NA,NA,NA,NA,4.939645587959234,10.59141266740043,42.73916367707424,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,137,NA,NA,NA,NA,3.2819345818404004,4.854832762674101,15.49520656867456,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,138,NA,NA,NA,NA,1.6553120696315764,2.9402638167244213,11.792002654103557,20,Random
PLS,Spearman_R,abs_training,Spectra,NA,NA,16,NA,NA,NA,NA,0.7511119460294368,0.05959004943159785,0.21383717699360938,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,118.3,NA,NA,NA,0.750176985263477,0.06207911283838957,0.2172270075020839,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,65.863,NA,NA,NA,0.7495976542947612,0.06547973820953239,0.23378716310086145,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,78.652,NA,NA,NA,0.7493864869187354,0.06522877174422075,0.23450958599611005,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,68.607,NA,NA,NA,0.7493475854100587,0.065340546303966,0.23350930814115023,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,111.132,NA,NA,NA,0.749336472987385,0.06274650193787275,0.21822728535704372,20,Random
