station,station_name,lat,lon,day,doy,gdd_50_86,high,low,precip
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-16,137,7.5,65,44,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-17,138,8.5,67,43,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-18,139,8,66,43,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-19,140,10.5,71,46,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-20,141,12,70,54,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-21,142,12.5,75,48,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-22,143,15.5,81,50,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-23,144,20,81,59,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-24,145,19,77,61,0.17
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-25,146,21.5,79,64,0.64
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-26,147,16,80,52,0.2
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-27,148,20.5,80,61,0.83
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-28,149,20.5,80,61,0.17
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-29,150,19.5,81,58,0.05
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-30,151,24.5,86,63,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-05-31,152,23.5,84,63,1.2
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-01,153,14.5,73,56,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-02,154,15.5,77,54,0.01
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-03,155,23,84,62,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-04,156,19.5,83,56,0.46
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-05,157,20.5,85,56,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-06,158,21.5,85,58,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-07,159,14.5,75,54,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-08,160,18.5,81,56,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-09,161,27,92,68,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-10,162,29,94,72,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-11,163,27.5,94,69,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-12,164,28.5,92,71,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-13,165,27,91,68,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-14,166,28,89,70,0.06
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-15,167,25.5,90,65,0.27
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-16,168,24,90,62,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-17,169,24,90,62,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-18,170,26.5,86,67,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-19,171,25,89,64,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-20,172,30,89,74,0.02
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-21,173,24.5,85,64,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-22,174,26,88,66,0.06
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-23,175,23.5,89,61,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-24,176,19,82,56,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-25,177,29,90,72,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-26,178,28.5,87,71,0.09
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-27,179,25,87,64,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-28,180,22,85,59,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-29,181,18.5,78,59,0.0001
IA0200,AMES-8-WSW,42.03,-93.8,2016-06-30,182,22.5,81,64,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-01,183,18,82,54,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-02,184,18.5,75,62,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-03,185,14.5,75,54,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-04,186,17,74,60,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-05,187,25.5,87,65,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-06,188,27,88,68,0.37
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-07,189,25.5,88,65,0.44
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-08,190,22.5,82,63,0.0001
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-09,191,22,82,62,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-10,192,23.5,82,65,0.48
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-11,193,28.5,89,71,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-12,194,25.5,89,65,0.79
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-13,195,25,83,67,0.06
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-14,196,23,83,63,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-15,197,17.5,80,55,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-16,198,19,79,59,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-17,199,23.5,84,63,1.21
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-18,200,26,85,67,1.62
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-19,201,26,83,69,0.87
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-20,202,27,90,68,0.01
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-21,203,30.5,92,75,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-22,204,29.5,92,73,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-23,205,31,89,76,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-24,206,30.5,88,75,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-25,207,24,84,64,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-26,208,24.5,84,65,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-27,209,24.5,84,65,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-28,210,23.5,82,65,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-29,211,18.5,76,61,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-30,212,21,80,62,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-07-31,213,22,81,63,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-01,214,24.5,81,68,0.04
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-02,215,22.5,78,67,0.35
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-03,216,25,85,65,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-04,217,28.5,89,71,0.01
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-05,218,24.5,88,63,0.73
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-06,219,18.5,77,60,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-07,220,19.5,77,62,0.01
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-08,221,19,77,61,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-09,222,24.5,85,64,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-10,223,27.5,88,69,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-11,224,27,86,68,1.35
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-12,225,27.5,87,69,4.4
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-13,226,22,81,63,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-14,227,22.5,81,64,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-15,228,20.5,80,61,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-16,229,23.5,83,64,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-17,230,24,84,64,0.13
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-18,231,27.5,89,69,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-19,232,28.5,89,71,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-20,233,21,81,61,0.69
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-21,234,14,75,53,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-22,235,17.5,80,55,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-23,236,20.5,81,60,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-24,237,22.5,77,68,0.32
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-25,238,19.5,78,61,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-26,239,16.5,76,57,0.02
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-27,240,16.5,74,59,0.04
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-28,241,24.5,86,63,0.01
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-29,242,25,82,68,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-30,243,25,83,67,0.13
IA0200,AMES-8-WSW,42.03,-93.8,2016-08-31,244,18.5,78,59,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-01,245,16.5,78,55,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-02,246,13.5,75,52,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-03,247,15.5,75,56,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-04,248,19,79,59,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-05,249,25,88,64,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-06,250,29.5,90,73,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-07,251,27.5,90,69,0.35
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-08,252,23.5,80,67,2.15
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-09,253,23.5,82,65,0.15
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-10,254,12,71,53,0.14
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-11,255,13,76,50,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-12,256,18,82,54,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-13,257,21.5,82,61,0.13
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-14,258,14,73,55,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-15,259,21.5,82,61,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-16,260,21,82,60,1.64
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-17,261,14,72,56,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-18,262,17.5,83,52,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-19,263,22,83,61,0.02
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-20,264,21.5,86,57,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-21,265,29,92,72,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-22,266,25,90,64,0.17
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-23,267,26.5,86,67,1.92
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-24,268,25.5,85,66,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-25,269,20.5,84,57,1.23
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-26,270,10.5,71,46,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-27,271,11.5,73,46,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-28,272,11.5,73,48,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-29,273,10,70,46,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-09-30,274,10.5,71,49,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-01,275,11.5,66,57,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-02,276,12.5,73,52,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-03,277,12.5,74,51,0.02
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-04,278,16.5,76,57,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-05,279,14.5,74,55,0.1
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-06,280,11.5,70,53,0.03
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-07,281,10,70,39,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-08,282,10,70,38,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-09,283,10.5,71,38,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-10,284,9.5,69,46,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-11,285,13.5,74,53,0.12
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-12,286,12.5,75,41,0.07
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-13,287,2.5,55,29,0
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-14,288,7.5,65,37,0.02
IA0200,AMES-8-WSW,42.03,-93.8,2016-10-15,289,15,70,60,0
