"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"2017-05-11","66.0","46.0","0.00","0.00","0.00"
"2017-05-12","66.0","44.0","0.00","0.00","0.00"
"2017-05-13","75.0","48.0","0.00","0.00","0.00"
"2017-05-14","80.0","54.0","0.00","0.00","0.00"
"2017-05-15","83.0","61.0","0.00","0.00","0.00"
"2017-05-16","69.0","58.0","0.63","0.00","0.00"
"2017-05-17","81.0","62.0","0.94","0.00","0.00"
"2017-05-18","69.0","46.0","1.89","0.00","0.00"
"2017-05-19","53.0","42.0","0.02","0.00","0.00"
"2017-05-20","53.0","42.0","T","0.00","0.00"
"2017-05-21","50.0","40.0","1.32","0.00","0.00"
"2017-05-22","50.0","43.0","0.06","0.00","0.00"
"2017-05-23","64.0","48.0","0.04","0.00","0.00"
"2017-05-24","60.0","45.0","0.03","0.00","0.00"
"2017-05-25","61.0","47.0","0.00","0.00","0.00"
"2017-05-26","70.0","52.0","0.04","0.00","0.00"
"2017-05-27","80.0","52.0","0.00","0.00","0.00"
"2017-05-28","72.0","56.0","0.00","0.00","0.00"
"2017-05-29","73.0","52.0","0.05","0.00","0.00"
"2017-05-30","64.0","51.0","0.03","0.00","0.00"
"2017-05-31","59.0","49.0","0.00","0.00","0.00"
"2017-06-01","73.0","45.0","0.00","0.00","0.00"
"2017-06-02","79.0","56.0","0.00","0.00","0.00"
"2017-06-03","88.0","64.0","0.00","0.00","0.00"
"2017-06-04","89.0","62.0","0.00","0.00","0.00"
"2017-06-05","87.0","57.0","0.00","0.00","0.00"
"2017-06-06","84.0","53.0","0.00","0.00","0.00"
"2017-06-07","80.0","58.0","0.00","0.00","0.00"
"2017-06-08","86.0","66.0","0.01","0.00","0.00"
"2017-06-09","81.0","60.0","0.00","0.00","0.00"
"2017-06-10","83.0","65.0","0.00","0.00","0.00"
"2017-06-11","93.0","70.0","0.00","T","0.00"
"2017-06-12","73.0","55.0","0.89","0.00","0.00"
"2017-06-13","80.0","64.0","0.32","0.00","0.00"
"2017-06-14","88.0","66.0","0.21","0.00","0.00"
"2017-06-15","83.0","66.0","0.00","0.00","0.00"
"2017-06-16","84.0","63.0","T","0.00","0.00"
"2017-06-17","83.0","61.0","0.00","0.00","0.00"
"2017-06-18","82.0","59.0","0.24","0.00","0.00"
"2017-06-19","71.0","59.0","0.00","0.00","0.00"
"2017-06-20","71.0","57.0","0.17","0.00","0.00"
"2017-06-21","73.0","55.0","0.00","0.00","0.00"
"2017-06-22","80.0","62.0","0.11","0.00","0.00"
"2017-06-23","70.0","56.0","0.48","0.00","0.00"
"2017-06-24","70.0","52.0","0.00","0.00","0.00"
"2017-06-25","64.0","52.0","0.00","0.00","0.00"
"2017-06-26","66.0","48.0","0.03","0.00","0.00"
"2017-06-27","69.0","51.0","0.00","0.00","0.00"
"2017-06-28","75.0","56.0","0.54","0.00","0.00"
"2017-06-29","79.0","61.0","0.11","0.00","0.00"
"2017-06-30","74.0","58.0","0.05","0.00","0.00"
"2017-07-01","77.0","60.0","T","0.00","0.00"
"2017-07-02","74.0","63.0","0.00","0.00","0.00"
"2017-07-03","78.0","57.0","0.00","0.00","0.00"
"2017-07-04","81.0","64.0","0.00","0.00","0.00"
"2017-07-05","85.0","66.0","0.10","0.00","0.00"
"2017-07-06","90.0","72.0","T","0.00","0.00"
"2017-07-07","91.0","65.0","0.00","0.00","0.00"
"2017-07-08","80.0","57.0","0.00","0.00","0.00"
"2017-07-09","80.0","65.0","0.00","0.00","0.00"
"2017-07-10","82.0","67.0","T","0.00","0.00"
"2017-07-11","83.0","60.0","0.00","0.00","0.00"
"2017-07-12","84.0","66.0","0.04","0.00","0.00"
"2017-07-13","84.0","55.0","T","0.00","0.00"
"2017-07-14","68.0","54.0","0.00","0.00","0.00"
"2017-07-15","75.0","58.0","0.00","0.00","0.00"
"2017-07-16","91.0","64.0","0.00","0.00","0.00"
"2017-07-17","82.0","66.0","0.00","0.00","0.00"
"2017-07-18","90.0","67.0","0.90","0.00","0.00"
"2017-07-19","78.0","59.0","0.04","0.00","0.00"
"2017-07-20","80.0","64.0","0.17","0.00","0.00"
"2017-07-21","86.0","65.0","0.00","0.00","0.00"
"2017-07-22","82.0","67.0","0.00","0.00","0.00"
"2017-07-23","87.0","65.0","0.01","0.00","0.00"
"2017-07-24","75.0","55.0","0.00","0.00","0.00"
"2017-07-25","77.0","60.0","0.00","0.00","0.00"
"2017-07-26","82.0","66.0","1.19","0.00","0.00"
"2017-07-27","81.0","64.0","0.00","0.00","0.00"
"2017-07-28","81.0","61.0","0.00","0.00","0.00"
"2017-07-29","82.0","59.0","0.00","0.00","0.00"
"2017-07-30","83.0","61.0","0.00","0.00","0.00"
"2017-07-31","84.0","64.0","0.00","0.00","0.00"
"2017-08-01","85.0","64.0","0.00","0.00","0.00"
"2017-08-02","85.0","63.0","0.00","0.00","0.00"
"2017-08-03","78.0","59.0","0.19","0.00","0.00"
"2017-08-04","60.0","51.0","0.43","0.00","0.00"
"2017-08-05","74.0","54.0","0.00","0.00","0.00"
"2017-08-06","75.0","57.0","0.19","0.00","0.00"
"2017-08-07","72.0","52.0","0.76","0.00","0.00"
"2017-08-08","77.0","58.0","0.00","0.00","0.00"
"2017-08-09","79.0","61.0","0.00","0.00","0.00"
"2017-08-10","67.0","59.0","0.90","0.00","0.00"
"2017-08-11","70.0","56.0","0.06","0.00","0.00"
"2017-08-12","76.0","53.0","0.00","0.00","0.00"
"2017-08-13","77.0","57.0","0.00","0.00","0.00"
"2017-08-14","68.0","59.0","1.72","0.00","0.00"
"2017-08-15","73.0","53.0","0.01","0.00","0.00"
"2017-08-16","76.0","58.0","0.55","0.00","0.00"
"2017-08-17","76.0","63.0","1.92","0.00","0.00"
"2017-08-18","70.0","58.0","0.01","0.00","0.00"
"2017-08-19","72.0","55.0","0.00","0.00","0.00"
"2017-08-20","78.0","59.0","0.00","0.00","0.00"
"2017-08-21","83.0","62.0","T","0.00","0.00"
"2017-08-22","78.0","58.0","0.05","0.00","0.00"
"2017-08-23","72.0","53.0","0.00","0.00","0.00"
