MONTH,DAY,YEAR,TOTAL_Precip,Temp_high,Temp_low,Temp_Avg
5,15,2017,0,83.5,58.5,72.4
5,16,2017,0,83.4,63.8,74.1
5,17,2017,0,80.1,69.4,74
5,18,2017,0,85,62.5,73.7
5,19,2017,1.71,75.2,56.7,64.2
5,20,2017,0.44,73.5,53.9,63.8
5,21,2017,0,66.3,47.9,56.6
5,22,2017,0,73,48.2,60.7
5,23,2017,0.13,67,52.2,58.6
5,24,2017,0,65.5,47.3,55.7
5,25,2017,0,73.4,46.6,61.7
5,26,2017,0.03,80.3,60.4,70.5
5,27,2017,0.78,81.8,59.8,67.9
5,28,2017,0,78.1,57.6,67.4
5,29,2017,0,80.3,53,68.9
5,30,2017,0,78.1,52.7,66.7
5,31,2017,0,80.1,54.6,68.6
6,1,2017,0,79.6,58.1,68.9
6,2,2017,0,84.8,62.6,74.1
6,3,2017,0,86.1,64.7,76.4
6,4,2017,0.02,85.5,66.1,73.7
6,5,2017,0,90.4,63.3,77.1
6,6,2017,0,79.9,60.7,70.3
6,7,2017,0,79.7,57.5,68.5
6,8,2017,0,80.6,52.9,68.5
6,9,2017,0,82.2,57.1,71
6,10,2017,0,85,61.8,74.5
6,11,2017,0,88,67.2,78
6,12,2017,0,90.8,66.8,79.8
6,13,2017,0,90.6,72,81.1
6,14,2017,0,90.5,71.3,81.4
6,15,2017,1.38,89.9,61.6,75.7
6,16,2017,0,88.5,68.3,78.5
6,17,2017,0.82,86.8,66.1,75.7
6,18,2017,0.21,79.1,63.2,71.4
6,19,2017,0,83.5,58,71.7
6,20,2017,0,87.8,60.6,75.9
6,21,2017,0,89.8,69.3,80.2
6,22,2017,0,85.6,68.7,76.8
6,23,2017,0,82.5,64.8,74.7
6,24,2017,0,76.3,58.2,67.8
6,25,2017,0,78.3,56.5,67.6
6,26,2017,0.14,74.9,50,61.7
6,27,2017,0.01,79,52.1,67.9
6,28,2017,0,87.7,67.1,76.6
6,29,2017,0.2,78.4,65.6,70.6
6,30,2017,0.42,82.3,63.3,72.6
7,1,2017,0,83.6,64.2,73.8
7,2,2017,0,86.6,60.8,75.8
7,3,2017,0,91.3,64.7,78.9
7,4,2017,0,79.7,67.8,74.7
7,5,2017,1.2,79.5,67.5,72.2
7,6,2017,0.01,87.4,65.2,76.9
7,7,2017,0,88.4,68.9,78.6
7,8,2017,0,87.3,62.6,76.2
7,9,2017,0,89.3,67.1,79.5
7,10,2017,0,91.2,72.6,81.6
7,11,2017,0,92.4,75.3,83.3
7,12,2017,0,94.8,74.2,84.1
7,13,2017,0.22,89.3,70.6,79.4
7,14,2017,0.06,88.8,70.6,77.6
7,15,2017,0,87.9,67.1,77
7,16,2017,0,91.1,66.7,79.7
7,17,2017,0,92.8,69.6,81.4
7,18,2017,0,92.8,70.9,82.5
7,19,2017,0,93.5,72.1,83
7,20,2017,0,97.5,73.8,85.9
7,21,2017,0,98.8,74.7,86.9
7,22,2017,0.65,101,75.8,88.2
7,23,2017,1.11,89,68.7,78.2
7,24,2017,0,86.4,68.2,76.9
7,25,2017,0,90.1,67.3,78.5
7,26,2017,0.31,90.4,72.4,81.6
7,27,2017,0.68,82.5,71.4,76.3
7,28,2017,0.01,83.4,67.3,76
7,29,2017,0,81.5,61.4,71.3
7,30,2017,0,80.7,58.4,70
7,31,2017,0,80.5,61.9,71.5
8,1,2017,0,84.4,68.3,75.2
8,2,2017,0.56,86.4,64.2,74
8,3,2017,0,85.9,64.8,75.3
8,4,2017,0,76.4,55.2,66.4
8,5,2017,0.46,69.6,53.5,63
8,6,2017,0.22,76.4,64.1,69.3
8,7,2017,0,78.5,62.5,70.3
8,8,2017,0,80,59.8,69.8
8,9,2017,0,81.9,61.2,71.5
8,10,2017,0,85.9,67.3,75.1
8,11,2017,0.36,83.1,64.9,73.2
8,12,2017,0,78.9,58,68.6
8,13,2017,0,79.6,58.5,69.7
8,14,2017,0,80.2,66,72
8,15,2017,0,87.5,66.2,76.6
8,16,2017,0.73,80.8,67.4,72.8
8,17,2017,0.01,81.4,62.3,71.9
8,18,2017,0,82.4,60.2,72.8
8,19,2017,0,88.7,64.9,77.1
8,20,2017,0,89,70,77.6
8,21,2017,0.01,88.3,69.3,78.9
8,22,2017,1.15,80.7,61.3,71.5
8,23,2017,0,78.4,53.9,66.7
8,24,2017,0,79.6,55.4,68.1
8,25,2017,0,79.2,60.2,69.5
8,26,2017,0,82.4,59.3,71.2
8,27,2017,0,79.8,61.4,68.8
8,28,2017,0.09,80,57.5,68.1
8,29,2017,0,79.7,58.4,68.4
8,30,2017,0,81.3,59.6,70.6
8,31,2017,0,80.4,60,70.9
9,1,2017,0,75.9,55.2,65
9,2,2017,0,82.2,49.4,67.4
9,3,2017,0,86.7,62.7,74.4
9,4,2017,0,91.2,65.5,76.4
9,5,2017,0,75.6,54.3,65.1
9,6,2017,0,70.8,46.7,58.1
9,7,2017,0,75.9,46,61.5
9,8,2017,0,84.6,51.1,68.8
9,9,2017,0,84.6,60.1,71.8
9,10,2017,0,82.5,58,69
