ID,Selected,Date,Time,X950,X955,X960,X965,X970,X975,X980,X985,X990,X995,X1000,X1005,X1010,X1015,X1020,X1025,X1030,X1035,X1040,X1045,X1050,X1055,X1060,X1065,X1070,X1075,X1080,X1085,X1090,X1095,X1100,X1105,X1110,X1115,X1120,X1125,X1130,X1135,X1140,X1145,X1150,X1155,X1160,X1165,X1170,X1175,X1180,X1185,X1190,X1195,X1200,X1205,X1210,X1215,X1220,X1225,X1230,X1235,X1240,X1245,X1250,X1255,X1260,X1265,X1270,X1275,X1280,X1285,X1290,X1295,X1300,X1305,X1310,X1315,X1320,X1325,X1330,X1335,X1340,X1345,X1350,X1355,X1360,X1365,X1370,X1375,X1380,X1385,X1390,X1395,X1400,X1405,X1410,X1415,X1420,X1425,X1430,X1435,X1440,X1445,X1450,X1455,X1460,X1465,X1470,X1475,X1480,X1485,X1490,X1495,X1500,X1505,X1510,X1515,X1520,X1525,X1530,X1535,X1540,X1545,X1550,X1555,X1560,X1565,X1570,X1575,X1580,X1585,X1590,X1595,X1600,X1605,X1610,X1615,X1620,X1625,X1630,X1635,X1640,X1645,X1650
SP14:10617,Y,10/10/16,8:30:21,0.1290072,0.1347987,0.1421162,0.1502494,0.1585084,0.1664971,0.1736031,0.1789795,0.1823825,0.1840802,0.1845757,0.1841168,0.1830637,0.1813765,0.179109,0.1763772,0.173218,0.1698734,0.1666351,0.1634164,0.1601609,0.1568136,0.1534521,0.1502867,0.1472975,0.1447165,0.142613,0.1409438,0.1396739,0.1388253,0.1384655,0.1385947,0.1391289,0.1402656,0.1425322,0.1473583,0.1564156,0.1704667,0.1882444,0.2080247,0.2288365,0.2489182,0.2675193,0.2837898,0.2975208,0.3098589,0.3214543,0.3320557,0.3404654,0.3455607,0.3474138,0.3464381,0.3426484,0.3359367,0.3272121,0.3180694,0.3097382,0.3028764,0.2974431,0.2933165,0.2902036,0.2879872,0.2864935,0.2853488,0.2844172,0.2832511,0.2816015,0.2797135,0.2782159,0.277554,0.2779664,0.2797223,0.2830041,0.287979,0.294881,0.3037231,0.3144233,0.3268185,0.340266,0.3541703,0.3682788,0.3819578,0.3944986,0.4059379,0.4164332,0.4267268,0.4385858,0.4543718,0.4751717,0.5001915,0.5284103,0.5589485,0.5900401,0.6190357,0.6448709,0.6670608,0.6850135,0.6986248,0.7084823,0.7152761,0.7198709,0.7229774,0.7248386,0.725718,0.7252803,0.7237227,0.7212911,0.7182049,0.7146434,0.7106878,0.7065437,0.7022873,0.697927,0.6935828,0.6893358,0.6853435,0.6818587,0.6788167,0.6760157,0.6734755,0.671031,0.6690151,0.667076,0.665033,0.6628472,0.6606142,0.6581312,0.6546631,0.6505716,0.6455362,0.6400737,0.6343902,0.6286595,0.6228566,0.6172095,0.6117123,0.6063487,0.601437,0.596697,0.5924553,0.5889577
SP14:10618,Y,10/10/16,8:32:28,0.1695153,0.1757033,0.1836284,0.1923287,0.2012085,0.20963,0.2170922,0.2226978,0.2262875,0.2280628,0.2285776,0.22811,0.2269306,0.2251436,0.2227946,0.2199562,0.2166597,0.2132365,0.2100215,0.2067739,0.2034684,0.2001032,0.1967553,0.1936052,0.190681,0.1881045,0.1859955,0.1843378,0.1831385,0.1824132,0.1821828,0.1824073,0.1831142,0.1844673,0.1870297,0.1922629,0.2017658,0.216186,0.2340687,0.2537461,0.2743305,0.2941449,0.312109,0.3273781,0.3399475,0.3509486,0.3610345,0.3701881,0.3775912,0.3823772,0.3844359,0.3841063,0.3813062,0.3759965,0.368758,0.3608587,0.3536619,0.3476642,0.342862,0.3391488,0.3362358,0.3341743,0.3327477,0.3317083,0.3308104,0.329595,0.3280003,0.3262082,0.3248733,0.3243345,0.3247531,0.3264135,0.3296062,0.3343959,0.3409345,0.3492416,0.3593037,0.3709288,0.383387,0.3962398,0.4090417,0.421296,0.4325095,0.4426599,0.4515975,0.4600916,0.4701921,0.4837715,0.5020541,0.5243288,0.5495138,0.5772025,0.6058033,0.6332038,0.6580662,0.6796457,0.6974188,0.7111496,0.7211913,0.7281745,0.7329088,0.7360575,0.7378939,0.7386905,0.7381931,0.7361808,0.7331904,0.729257,0.7250605,0.7205284,0.7158427,0.7111568,0.7061422,0.70149,0.6971048,0.6930742,0.6894779,0.6865963,0.6841209,0.6819397,0.6796915,0.6776725,0.6758652,0.6738945,0.6717708,0.6694493,0.6670123,0.6640491,0.6603814,0.6559199,0.6510395,0.646004,0.6410955,0.6361284,0.6310838,0.6262247,0.6215776,0.617439,0.6135188,0.6102679,0.607351
SP14:10620,Y,10/10/16,8:34:08,0.1750889,0.1810919,0.1886684,0.1972252,0.2060048,0.2143336,0.2217195,0.2273795,0.2309789,0.2327586,0.2333639,0.2329659,0.2317834,0.2299825,0.2276505,0.2248678,0.2216734,0.2183275,0.2152012,0.2120467,0.2087863,0.2056163,0.202447,0.1994303,0.196562,0.1940786,0.1920618,0.1904422,0.1892173,0.1884684,0.1881264,0.1882157,0.1888228,0.1900303,0.1923623,0.1972695,0.2062382,0.21987,0.2370986,0.2564247,0.2768732,0.2965199,0.3142944,0.3293617,0.3417842,0.3528103,0.363048,0.3725018,0.3802699,0.3854239,0.387775,0.3876932,0.3849463,0.3795394,0.3721429,0.3641431,0.3567631,0.3506576,0.3457654,0.3420202,0.3391692,0.3372377,0.3358261,0.3346868,0.3336489,0.3322589,0.3306388,0.3288928,0.3274614,0.3268227,0.3271979,0.3288172,0.3318651,0.3365508,0.3430511,0.351281,0.361255,0.3726995,0.3850778,0.397844,0.4105791,0.4227701,0.4339473,0.4440441,0.4530008,0.4615728,0.4715193,0.4847966,0.5024571,0.5241583,0.5485689,0.5753339,0.6029254,0.6290797,0.6529688,0.6735064,0.6904322,0.7033995,0.7128805,0.7195699,0.7240893,0.7272846,0.7290963,0.7300023,0.7295195,0.727584,0.7247844,0.7211868,0.7171996,0.7129422,0.7086269,0.7040566,0.6994075,0.6950497,0.6908905,0.6869776,0.683575,0.6808135,0.6785665,0.676433,0.6744438,0.6727774,0.6711186,0.6691766,0.6671216,0.6648912,0.6625621,0.6597273,0.6562316,0.651885,0.6473293,0.6426048,0.637628,0.6326152,0.6279154,0.6232099,0.618893,0.6147942,0.6107722,0.6072823,0.6045918
SP14:10621,Y,10/10/16,8:35:35,0.1613891,0.1673481,0.1749717,0.1834123,0.1919962,0.2002071,0.2074865,0.2130302,0.2164968,0.2181425,0.2186093,0.2180936,0.216826,0.2149025,0.2125113,0.2096789,0.2063352,0.2028898,0.1996846,0.196449,0.1931667,0.1898311,0.1865473,0.1834582,0.1806222,0.1781348,0.1760861,0.1744155,0.1732312,0.1725118,0.1722064,0.1724164,0.173117,0.174388,0.1768886,0.1819519,0.1911321,0.2051113,0.2226516,0.2422424,0.2628645,0.2827636,0.3008837,0.3164438,0.3294991,0.3410518,0.3517283,0.3614978,0.3694361,0.3745824,0.3767301,0.3762995,0.3731585,0.3674127,0.3597566,0.3515784,0.3441184,0.337896,0.3328861,0.3291128,0.3262739,0.3242194,0.3227121,0.3216176,0.3206747,0.3193809,0.3177786,0.3159266,0.3145005,0.3139265,0.3143671,0.3160995,0.3193375,0.3241802,0.330882,0.3394389,0.3498278,0.3618972,0.3748696,0.3882274,0.4016266,0.4144063,0.4262335,0.4368826,0.4463719,0.4555072,0.4662963,0.4807973,0.5002118,0.5238875,0.550488,0.5795727,0.6093073,0.6374217,0.6627346,0.6844292,0.7020788,0.7154608,0.7251434,0.7318521,0.736403,0.7394848,0.7412928,0.7420974,0.7415413,0.7396223,0.7368332,0.7332882,0.7292646,0.7248931,0.7204836,0.7160186,0.7111248,0.7065015,0.701945,0.6977977,0.6941738,0.6911111,0.688473,0.6860697,0.6835743,0.6814913,0.6797762,0.6778156,0.6754498,0.6730031,0.6705242,0.6674481,0.6636147,0.6588866,0.653674,0.6484114,0.6432431,0.6378955,0.6326948,0.6274207,0.6224651,0.6180921,0.6140751,0.6104877,0.6075136
SP14:10622,N,10/10/16,8:37:04,0.1503558,0.1556413,0.1625862,0.1702114,0.1779455,0.185248,0.1917197,0.1966313,0.1996119,0.2010185,0.201386,0.2008274,0.1995919,0.1978097,0.1956072,0.1929479,0.1898662,0.1867369,0.1837834,0.1808262,0.1777992,0.1747792,0.1718114,0.1689714,0.1663098,0.1640347,0.1621442,0.1605726,0.159417,0.1586746,0.1583376,0.1584691,0.1590121,0.1600999,0.1622726,0.1668201,0.1751201,0.1877807,0.2037162,0.2216209,0.2406612,0.2590874,0.2758394,0.290065,0.3017112,0.3118763,0.3213095,0.329989,0.337043,0.3416555,0.3436911,0.3434845,0.3408385,0.3357665,0.3287685,0.3211244,0.3141724,0.3084287,0.3037629,0.3001492,0.29737,0.2953711,0.2938798,0.2928281,0.2918386,0.2906007,0.2890738,0.2873293,0.2859749,0.2854144,0.2858591,0.2874383,0.2904947,0.2950546,0.3013077,0.3091826,0.3188139,0.3299339,0.341921,0.354363,0.3668281,0.3786552,0.3895313,0.3993989,0.4081185,0.4165497,0.4265314,0.4400235,0.4582013,0.4804052,0.5053756,0.5327892,0.5608198,0.5874099,0.6114488,0.6321124,0.6490091,0.6617862,0.6709986,0.6774686,0.6819597,0.6850321,0.6867749,0.6875432,0.6869096,0.6849062,0.6819276,0.6782104,0.674033,0.6695822,0.6650611,0.6604525,0.6556153,0.6510058,0.6466336,0.6424499,0.6387538,0.6359002,0.6333823,0.6309866,0.628892,0.6270196,0.6251168,0.6229821,0.6209022,0.6184188,0.6159649,0.6130455,0.6094135,0.6050384,0.6003095,0.5953754,0.5903336,0.5851322,0.5803717,0.5757231,0.5711657,0.5669281,0.5630485,0.5596225,0.5568778
SP14:10623,Y,10/10/16,8:42:52,0.1622748,0.1680855,0.1755522,0.1838439,0.1923051,0.2003445,0.2074775,0.2128817,0.216231,0.2178148,0.2183353,0.2178466,0.216611,0.2147949,0.2124813,0.2096863,0.2063976,0.2030405,0.1998936,0.1967148,0.1934272,0.1901055,0.1868512,0.1837585,0.1808633,0.1783472,0.1762405,0.1744901,0.1732668,0.1724942,0.172183,0.1723768,0.1730362,0.1743515,0.1768661,0.182098,0.1915363,0.2057595,0.2234835,0.2431523,0.2639688,0.2841422,0.3026025,0.3183323,0.3311561,0.3424186,0.3529017,0.3625499,0.3703069,0.3752284,0.3773354,0.3770215,0.3740776,0.3684279,0.3605563,0.3520117,0.3442766,0.337821,0.3326508,0.3286479,0.3255346,0.32335,0.3217387,0.3205999,0.3196029,0.3183429,0.3167371,0.3148787,0.3134366,0.3128377,0.3133108,0.3150387,0.318381,0.3234032,0.3302228,0.3388922,0.3494656,0.3617015,0.3750205,0.3888202,0.4026362,0.4157786,0.4278475,0.4388107,0.4485422,0.4579557,0.4690695,0.4840848,0.504178,0.5286444,0.5564057,0.5870383,0.6185775,0.6487123,0.6760517,0.6996208,0.7190496,0.7338318,0.7445335,0.752054,0.7570738,0.7605149,0.7625273,0.7634016,0.7627537,0.7606314,0.7572948,0.7531602,0.7487222,0.7437625,0.7387264,0.7335389,0.7281584,0.7230558,0.718339,0.7139699,0.7100816,0.7069634,0.7042387,0.7018425,0.6994233,0.6972242,0.6951985,0.6928834,0.6907564,0.6882799,0.6855884,0.6823199,0.6783905,0.6734728,0.6679737,0.6623049,0.6566725,0.6512008,0.6457409,0.6404699,0.6353501,0.6308456,0.62665,0.6229809,0.6199983
SP14:10625,Y,10/10/16,8:44:37,0.2066915,0.2128228,0.2207633,0.2297347,0.2389222,0.247738,0.2556235,0.2615455,0.26532,0.2671257,0.2676076,0.2670511,0.2656492,0.263539,0.260956,0.2578506,0.2542709,0.2505711,0.2470926,0.2435266,0.2399266,0.2364443,0.2328761,0.2294735,0.226352,0.2236294,0.221438,0.2195959,0.2182689,0.2174645,0.2171486,0.217292,0.2178526,0.2190896,0.2215683,0.226728,0.2363368,0.2511377,0.269985,0.2913309,0.3138908,0.3356198,0.35536,0.3721284,0.3858952,0.3980493,0.409509,0.4200629,0.4286925,0.4343404,0.4369271,0.4368108,0.4337482,0.4275686,0.4190477,0.4097874,0.4013712,0.394463,0.3889685,0.3848437,0.3817025,0.3795393,0.3779784,0.3766851,0.3755676,0.374187,0.3724639,0.3704818,0.3689467,0.3683274,0.3687313,0.3704484,0.3738997,0.3790733,0.3861725,0.3952224,0.4061612,0.4186993,0.4321637,0.4461041,0.4599901,0.4732873,0.4855017,0.496569,0.5064154,0.5159426,0.5270778,0.5416369,0.5610195,0.5843195,0.6104588,0.6389707,0.6679413,0.695048,0.7191929,0.7398151,0.75651,0.7691283,0.7782247,0.7845902,0.7888179,0.791887,0.7935401,0.7944059,0.794047,0.7922398,0.7897022,0.7862543,0.7824308,0.7783952,0.7741779,0.7699389,0.7654387,0.7612143,0.7571235,0.7533618,0.7501149,0.747498,0.7450309,0.7428976,0.7408373,0.7389476,0.7371827,0.7353074,0.7333245,0.7312267,0.7290063,0.7262654,0.7227377,0.7185087,0.7137812,0.7087565,0.7039252,0.6991352,0.6940818,0.6892557,0.6846429,0.6806097,0.6765947,0.6730431,0.6701041
SP14:10629,Y,10/10/16,8:47:15,0.1561174,0.1616266,0.168685,0.1766759,0.1848786,0.1927371,0.1996584,0.204986,0.208305,0.209883,0.2103289,0.2099354,0.2088519,0.2071671,0.2049175,0.2020807,0.198806,0.1953962,0.1921348,0.1888581,0.1854363,0.1818666,0.1783781,0.1750514,0.1719787,0.1693167,0.1671123,0.1653193,0.1639945,0.1632212,0.1629573,0.1632292,0.1640073,0.1654811,0.1682564,0.1738078,0.1838057,0.1989305,0.2177105,0.2385084,0.2604766,0.2818319,0.3015507,0.3185291,0.3323019,0.344383,0.355898,0.366612,0.3751018,0.3802696,0.3823663,0.3818803,0.3785193,0.371991,0.3630142,0.3531558,0.3441684,0.3367867,0.3307876,0.326088,0.3224179,0.3197662,0.3179089,0.3166079,0.315539,0.3142558,0.3125126,0.3104934,0.308875,0.3081681,0.3085782,0.3103773,0.3138762,0.3191153,0.3262652,0.3354065,0.3465722,0.359605,0.3737529,0.388521,0.403419,0.417922,0.4312764,0.443369,0.4543894,0.4650405,0.4776458,0.4944907,0.5167434,0.5433453,0.5733643,0.6064305,0.6403025,0.6722425,0.7009391,0.7255202,0.7455065,0.7606267,0.7715488,0.7791611,0.7842351,0.7876683,0.7897573,0.7907239,0.7901641,0.7882389,0.7853016,0.7812226,0.7767853,0.7719359,0.7670466,0.7618608,0.7565566,0.7512634,0.7461203,0.7415354,0.737316,0.733772,0.7305999,0.7277299,0.7250625,0.7225465,0.7202644,0.7180505,0.7155112,0.7128442,0.7098401,0.7062134,0.7017257,0.6962994,0.690207,0.6839927,0.6777933,0.6715282,0.6655446,0.6596537,0.6539952,0.6487762,0.6439489,0.6395264,0.6359079
SP14:10637,Y,10/10/16,8:48:52,0.1496664,0.1548179,0.1614971,0.1689313,0.1765852,0.183853,0.1902663,0.1951427,0.1981634,0.1996519,0.2000831,0.1996637,0.1986088,0.1969561,0.1948854,0.1922572,0.1892557,0.186099,0.1831339,0.1801583,0.1770526,0.1739376,0.1708485,0.1678369,0.1650564,0.1626688,0.160696,0.159042,0.1578011,0.157062,0.1567377,0.1567989,0.1573234,0.1583901,0.1605634,0.1651911,0.173724,0.1867628,0.2030596,0.2211231,0.2400487,0.2583498,0.275195,0.2897877,0.3018826,0.3126423,0.3226588,0.3318217,0.3391193,0.3436801,0.3454987,0.3450117,0.3420525,0.3365133,0.3290053,0.3209381,0.3136781,0.307735,0.302965,0.2992811,0.2964714,0.2945144,0.2931413,0.292175,0.2913512,0.2902964,0.2888881,0.2872094,0.2858203,0.2851807,0.2855424,0.2871417,0.2901424,0.2946911,0.3008577,0.308663,0.3181184,0.3291061,0.3409787,0.3533358,0.3657494,0.3776858,0.3886467,0.3985347,0.4074861,0.4161608,0.4263063,0.4396856,0.457644,0.4792822,0.5034239,0.5300411,0.5572785,0.5829744,0.6060963,0.6259412,0.6422564,0.6545815,0.6635067,0.6699064,0.6741973,0.6771985,0.6790437,0.6799461,0.6794382,0.6778584,0.6753835,0.6721556,0.6687153,0.6648459,0.6608077,0.6567305,0.6522826,0.6480309,0.6438676,0.6400035,0.6363999,0.6336191,0.6310335,0.6287233,0.6265533,0.6245919,0.6226453,0.6207618,0.6186157,0.6161986,0.6136742,0.6108825,0.6073275,0.6030585,0.5983346,0.5933904,0.5884638,0.5834289,0.5784734,0.573741,0.5691842,0.5649605,0.5610785,0.5575236,0.5545241
SP14:10653,Y,10/10/16,8:51:37,0.180161,0.1869434,0.1956882,0.2054638,0.2155095,0.2251996,0.2339228,0.2406171,0.2449532,0.2472151,0.2480771,0.2477542,0.2465267,0.2445748,0.2420776,0.2389295,0.2352687,0.2314519,0.2277862,0.2241591,0.2204054,0.2166153,0.2128629,0.2092442,0.2059554,0.2030592,0.2007093,0.1987961,0.197403,0.1965293,0.1962052,0.1963795,0.1970045,0.1983207,0.2010575,0.2067299,0.2171933,0.2333755,0.2538233,0.2765985,0.3005476,0.3237295,0.3451207,0.3638591,0.379815,0.3940944,0.4073442,0.4193026,0.4288245,0.4347859,0.4370589,0.4362292,0.4321418,0.4248159,0.4152339,0.4052071,0.3960675,0.3885372,0.3825398,0.3780023,0.3745702,0.3722342,0.3706009,0.3694014,0.368294,0.3668789,0.365036,0.362883,0.36115,0.3602933,0.3607134,0.3626578,0.3664529,0.3722394,0.3800202,0.3899856,0.4021592,0.4162614,0.4315798,0.4474072,0.4633526,0.4787169,0.4928347,0.5056149,0.5172326,0.5285251,0.5415422,0.5586658,0.5816561,0.6096892,0.6415155,0.6766085,0.7127196,0.7472741,0.7788022,0.8061921,0.8290375,0.8467494,0.859854,0.869355,0.875877,0.8802899,0.8831287,0.8846104,0.8843266,0.8826371,0.8799135,0.8760682,0.8716727,0.8670477,0.8621004,0.8569233,0.8515264,0.8462356,0.8411362,0.8364565,0.8321688,0.8284529,0.8252793,0.8224973,0.8198269,0.8173776,0.8153585,0.8130619,0.8106155,0.8078469,0.8046244,0.8007388,0.7959424,0.7902543,0.7837111,0.7768505,0.7701008,0.7634349,0.756859,0.7503612,0.7440717,0.7383428,0.7326849,0.7276409,0.7234862
